Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
United Kingdom,,293.01224,364.58167,316.74438,353.92263,395.73448,484.57745,579.66784,512.63123,404.72284,637.30307,680.3894,680.3894
Armenia,,5.49604,37.09082,38.63671,39.91049,41.2359,44.66907,45.20129,46.68348,9.69814,45.78853,46.55304,46.55304
Azerbaijan,,1.92475,0.57595,0.95989,1.41962,3.92404,4.26679,2.84827,1.43934,1.42625,1.35074,0.49863,0.49863
Belarus,,18.47713,7.52718,12.9126,12.77079,22.8935,17.76559,26.70104,41.44984,39.6611,50.68088,43.23805,43.23805
Estonia,,19.37861,51.13803,20.71636,21.50477,25.31505,28.17008,30.58584,28.51581,23.2657,24.21805,22.67312,22.67312
Former U.S.S.R.,,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,,27.00907,15.98422,12.42164,12.41896,13.50959,15.54117,16.37411,17.83501,18.00507,19.65611,21.11132,21.11132
Kazakhstan,,28.78464,31.33948,36.03567,31.26392,48.76249,53.07216,35.25904,51.47855,54.79165,38.54992,36.28849,36.28849
Kyrgyzstan,,15.99041,15.76334,8.12586,10.66395,13.62557,14.1434,12.85425,13.93704,28.94488,36.41723,35.04271,35.04271
Latvia,,41.55798,43.77037,27.9106,30.66079,39.18989,45.33751,41.95679,37.52208,38.63279,38.47688,35.93304,35.93304
Lithuania,,10.76855,11.45008,6.0783,6.92164,9.89191,11.10704,11.28693,15.06721,15.66866,10.12871,16.11159,16.11159
Moldova,,22.11199,35.15216,35.24477,13.62164,14.20443,14.44948,14.23178,14.72605,15.79507,15.42973,16.19674,16.19674
Russia,,6.23809,3.95874,0.17559,0.07047,12.66637,0.57644,0.96052,0.75197,21.34177,16.50726,57.94918,57.94918
Tajikistan,,19.92158,14.27921,25.43537,27.48359,29.47904,31.73597,33.91329,39.3991,10.77159,10.31956,11.74849,11.74849
Turkmenistan,,2.53552,2.54247,2.54247,2.54247,2.53552,5.2834,2.54247,0,2.54247,2.54247,2.54247,2.54247
Ukraine,,98.97003,40.15556,27.13238,32.75685,36.8815,52.10249,83.63205,109.90775,148.91619,88.38745,126.54532,126.54532
Uzbekistan,,0,7.95693,5.06652,4.29282,11.09344,12.43671,0,9.01332,0,0,0.65589,0.65589
Bahrain,,0,0,0,0,0,0,0,0,0,0,0,0
Iran,,62,62.28329,92.27504,105.28707,153.5523,167.83126,212.18948,172.1446,187.24962,205.31033,180.35811,180.35811
Iraq,,26,35.57181,20,130,98.32604,104.31121,116.86134,231.20345,144.1377,171.53638,172.61874,172.61874
Israel,,94.35074,126.74145,93.42522,93.23061,105.09404,95.69959,53.88636,54.23356,50.49373,49.78136,56.42068,56.42068
Jordan,,20.47787,19.91107,24.01863,22.71449,21.68872,21.21674,17.67449,23.74995,18.62424,21.29663,35.60334,35.60334
Kuwait,,10.02432,9.02438,8.02438,13.11151,2.61128,8.02203,0,0,0,0,0,0
Lebanon,,105.54986,100.90386,100.64184,101.35521,102.28997,97.58934,86.74616,78.76482,102.25116,128.86145,120.37085,120.37085
Oman,,4.05814,7.97616,8.93203,10.77444,15.43653,15.44468,17.29241,27.96929,33.14718,0.26564,2.38986,2.38986
Palestinian Territories,,7.08227,10.18781,8.94047,9.69178,16.24548,20.32378,22.15233,22.11096,15.42332,16.33353,16.33353,16.33353
Qatar,,0,0,0,0,0,0,0,4.10811,11.936,14.08203,0,0
Saudi Arabia,,0,0,5,10,0,41.67693,79.24721,83.14888,160.10701,225.25704,196.65545,196.65545
Syria,,33.52973,19.39121,19.28255,20.33978,21.45669,20.57816,24.6051,45.2754,58.16345,101.48532,104.83285,104.83285
United Arab Emirates,,99,94,122.56225,83.59167,137.2438,232.3249,192.91162,235.34326,377.32732,312.83077,351.35573,351.35573
Yemen,,2.02432,9.02438,1.14614,48.3846,58.10172,62.84693,65.86427,64.60847,61.94986,60.74389,59.05107,59.05107
Algeria,,0.1159,0.51468,2.94197,3.56718,5.68574,6.53326,7.70449,10.18307,11.69638,23.01474,17.27123,17.27123
Angola,,3.41923,15.79784,14.14866,17.43121,18.29079,19.55068,28.08679,38.28307,41.47962,60.15277,55.74488,55.74488
Benin,,11.08079,12.00238,12.60904,20.86496,26.17981,24.04408,28.90258,33.40605,35.1426,31.01438,34.84499,34.84499
Botswana,,13.96549,11.63741,11.63741,11.08044,13.4876,14.50384,15.18036,15.59025,19.05992,18.36644,19.35723,19.35723
Burkina Faso,,7.47932,7.58405,7.78482,8.05118,8.15847,8.44586,8.2829,8.55984,12.54364,11.64434,11.65636,11.65636
Burundi,,2.6365,2.79792,2.83005,2.94397,2.68691,2.63499,2.4953,2.4497,1.33428,1.45997,1.42918,1.42918
Cameroon,,3.6703,0.32718,3.83964,1.86411,0.71301,0.74847,2.73507,7.49214,5.71534,7.05288,6.01753,6.01753
Cape Verde,,1.50432,1.04816,1.12375,1.12375,2.07975,1.7846,1.61903,2.33581,2.40741,2.64622,2.64622,2.64622
Central African Republic,,2.19522,2.23992,2.32882,2.32882,2.20123,2.05682,2.20323,2.41773,2.48107,2.31756,2.31756,2.31756
Chad,,1.3418,1.36885,1.4123,1.4123,1.31648,1.49197,1.57085,1.83655,1.75351,1.75351,1.75351,1.75351
Comoros,,0.64164,0.66677,0.68849,0.68849,0.70907,0.75537,0.7662,0.96677,1.00923,1.00923,0.87707,0.87707
Congo (Brazzaville),,0.08279,0.08301,0.08301,0.08301,1.04992,1.70225,2.13614,2.83247,5.32644,4.31586,4.15614,4.15614
Congo (Kinshasa),,12.80615,8.18049,8.18049,8.224,11.40847,11.69608,11.35375,13.10482,11.50274,11.4889,16.19822,16.19822
Cote dIvoire (IvoryCoast),,8.24637,8.42671,6.58279,6.80945,4.97063,3.2309,0.02438,2.18548,3.1006,2.43973,4.81041,4.81041
Djibouti,,11.22495,11.40137,11.41962,11.66978,11.86175,11.81151,8.4759,11.2297,7.98659,8.08878,8.08878,8.08878
Egypt,,75.1529,74.89633,88.47575,55.88258,69.85667,78.04603,75.20603,92.17849,114.62164,157.28142,164.2477,164.2477
Equatorial Guinea,,1.53156,1.14877,1.14877,1.19332,1.02626,1.06995,1.11449,1.7286,4.56142,4.56142,4.56142,4.56142
Eritrea,,5.46617,4.83326,4.58277,5.34137,4.92426,4.92444,4.78978,3.86422,2.67049,3.14337,3.15956,3.15956
Ethiopia,,22.00926,23.51268,24.9191,27.55088,28.45847,29.82058,33.59178,33.47904,42.48373,46.11301,42.50205,42.50205
Gabon,,3.35907,4.04611,1.84071,3.1403,2.43577,2.4846,4.18466,4.82173,5.88978,2.93041,4.59356,4.59356
Gambia The,,1.83126,1.93847,2.00858,2.03195,2.0497,2.12323,2.26627,2.8074,2.91252,3.15915,3.43444,3.43444
Ghana,,19.55183,19.3426,18.21003,14.11208,12.83913,15.38247,31.12096,25.8331,24.38781,40.8117,37.2411,37.2411
Guinea,,8.21238,8.30436,8.36203,8.4029,8.48115,8.81052,8.67433,8.55882,8.96998,9.08902,9.08902,9.08902
Guinea-Bissau,,2.2973,2.32403,2.40518,2.46942,2.46268,2.56022,2.54501,2.56463,2.57767,2.66142,2.66142,2.66142
Kenya,,20.81153,20.90362,26.97901,26.26882,29.77238,36.68463,46.43551,48.15534,34.98674,46.17877,52.16389,52.16389
Lesotho,,1.4,1.4,1.4,1.4,1.4,1.5,1.5529,1.69,1.813,1.5529,3.71107,3.71107
Liberia,,2.95926,3.11847,3.38071,3.48011,3.53249,3.59285,4.26261,4.55238,4.04057,3.75019,3.67348,3.67348
Libya,,0.57377,0.57534,0.57534,0.57534,1.23279,0.57534,0.57534,0.57534,0.57534,0.57534,0.57534,0.57534
Madagascar,,5.89306,6.47847,6.75655,6.92375,8.35199,8.9494,16.93986,16.3914,14.25056,12.11832,12.11634,12.11634
Malawi,,5.25691,5.34923,5.41184,5.43301,6.26331,6.78759,6.96022,7.12422,7.20941,6.05932,6.05932,6.05932
Mali,,3.8406,3.85112,4.20151,4.24093,4.36929,4.8597,4.40244,4.5074,4.56762,4.69814,4.69814,4.69814
Mauritania,,2.97372,23.73696,22.74501,23.29956,19.95896,23.62989,20.61433,17.74611,12.87247,12.80502,12.80502,12.80502
Mauritius,,19.41689,19.60197,19.78818,20.54994,21.37783,21.93033,22.20038,20.75337,22.75087,20.62429,20.62429,20.62429
Morocco,,39.61828,44.19953,45.93153,86.87504,67.2841,62.91482,70.59688,87.97989,106.98099,160.16597,143.02721,143.02721
Mozambique,,7.92377,9.94537,10.64647,11.18921,13.32437,13.24471,13.76101,14.53748,13.20214,15.02153,16.14282,16.14282
Namibia,,12.63063,15.05071,15.41704,16.63564,17.57861,17.74545,19.11729,19.89107,20.38584,21.98934,20.81362,20.81362
Niger,,4.97757,5.06858,5.29926,5.40477,5.41167,5.42521,5.36732,5.4431,3.32973,5.13559,5.13643,5.13643
Nigeria,,142.91899,103.62668,107.96688,168.08937,167.90817,154.32386,169.96855,187.6591,133.38981,165.71973,151.68074,151.68074
Reunion,,17.72478,18.53471,18.49175,18.49962,18.81831,19.20378,19.43551,18.49948,19.89942,20.51167,20.51167,20.51167
Rwanda,,5.18773,5.24192,6.30058,5.32734,5.16481,5.59677,5.62323,5.10456,5.12541,5.30188,5.30188,5.30188
Saint Helena,,0.15511,0.08542,0.08542,0.08542,0.06407,0.08542,0.07973,0.08468,0.06605,0.06312,0.06312,0.06312
Sao Tome and Principe,,0.61404,0.61573,0.63616,0.63616,0.63443,0.65953,0.72553,0.88904,0.88904,0.88373,0.88904,0.88904
Senegal,,12.73669,12.47663,12.62915,11.38022,14.93082,19.46795,35.35468,21.28923,16.70488,22.26978,23.76315,23.76315
Seychelles,,3.8365,3.95178,5.72485,5.54297,5.79992,5.72216,5.9174,6.20337,6.92322,7.45728,6.31621,6.31621
Sierra Leone,,1.5141,6.37433,1.66792,1.72578,3.57866,2.23058,3.81595,4.94534,6.11658,9.37277,9.37277,9.37277
Somalia,,4.8,4.8,4.8,4.8,4.8,4.77208,2.38652,2.82745,2.90482,5.39948,5.39948,5.39948
South Africa,,9.71257,9.5474,22.182,30.20099,31.03862,47.72236,47.98321,85.44142,60.29427,50.43819,79.00784,79.00784
Sudan and South Sudan,,13.87197,9.68088,8.91973,9.18992,7.94519,7.55847,11.4017,11.81578,24.82156,23.81225,17.39408,17.39408
Swaziland,,3.53,3.53,3.53,3.53,3.53,3.53,4.10004,4.46397,4.89757,4.76122,4.76122,4.76122
Tanzania,,16.78093,18.94756,21.72647,23.21052,24.80221,26.75644,28.06586,30.03575,32.67786,34.44025,30.74937,30.74937
Togo,,9.53358,6.8174,8.80192,14.19951,15.12858,16.64504,15.26723,15.90074,6.82901,6.9829,9.77312,9.77312
Tunisia,,55.48538,62.04238,63.33874,60.46803,64.59314,67.514,63.67959,53.46189,74.60268,61.89422,80.97868,80.97868
Uganda,,8.65249,9.59068,9.92975,10.18148,10.87421,11.5369,13.09205,13.7731,23.9497,22.16103,22.98877,22.98877
