Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Kazakhstan,15.68725,15.73694,15.80213,15.88251,15.98862,16.12267,16.28372,16.45983,16.64964,16.86328,17.08482,17.30451
Kyrgyzstan,4.93713,4.97683,5.01396,5.05935,5.11354,5.16425,5.21277,5.25556,5.29869,5.35818,5.41047,5.45078
Latvia,2.37618,2.35823,2.34021,2.32294,2.30631,2.29024,2.27474,2.25981,2.24542,2.2315,2.21797,2.20471
Lithuania,3.65439,3.64575,3.63323,3.62009,3.6079,3.59662,3.58591,3.57544,3.56521,3.55518,3.54532,3.53555
Moldova,4.18021,4.13509,4.08889,4.04095,3.99461,3.94826,3.90108,3.85544,3.81176,3.7707,3.7318,3.69412
Russia,147.05397,146.33416,145.52979,144.73728,144.00005,143.31952,142.73575,142.44128,142.39315,142.46149,142.5269,142.52559
Tajikistan,6.2297,6.3391,6.45201,6.56785,6.68843,6.81479,6.94406,7.0766,7.21188,7.34915,7.48749,7.6272
Turkmenistan,4.38549,4.44458,4.50262,4.55613,4.60847,4.66416,4.71951,4.77423,4.82933,4.88489,4.94092,4.9975
Ukraine,49.00522,48.50792,48.05682,47.66708,47.30539,46.95942,46.62033,46.29986,45.99429,45.7004,45.4156,45.13471
Uzbekistan,25.04182,25.37238,25.69631,25.99214,26.2681,26.53989,26.81046,27.07927,27.34503,27.60601,27.86574,28.1286
Bahrain,0.65486,0.67209,0.71483,0.781,0.84812,0.91597,0.98439,1.05358,1.10729,1.14437,1.18008,1.2147
Iran,68.63155,69.53153,70.28374,70.81183,71.4395,72.28271,73.1844,74.09327,75.02536,75.96761,76.9233,77.89122
Iraq,22.67908,23.33473,24.00405,24.68518,25.37625,26.07609,26.78418,27.50016,28.22144,28.94557,29.67161,30.39957
Israel,6.11457,6.25134,6.36954,6.49192,6.61773,6.74292,6.86688,6.99006,7.11236,7.2337,7.35399,7.47305
Jordan,4.68762,4.79335,4.90206,5.01378,5.12826,5.2454,5.61722,5.99719,6.13263,6.26929,6.40709,6.50827
Kuwait,1.97226,2.02773,2.08331,2.13982,2.19729,2.25666,2.31688,2.3758,2.43319,2.489,2.54317,2.59563
Lebanon,3.7915,3.81411,3.83546,3.85548,3.87449,3.89239,3.8511,3.89556,4.03802,4.09932,4.12525,4.1431
Oman,2.43238,2.4873,2.54108,2.59379,2.64561,2.69689,2.7482,2.80028,2.85388,2.90963,2.96772,3.02796
Palestinian Territories,3.11009,3.20475,3.30059,3.398,3.49718,3.59785,3.69993,3.80337,3.90788,4.01313,4.11908,4.22571
Qatar,0.6399,0.67144,0.70339,0.73564,0.82545,0.97253,1.11991,1.26826,1.41796,1.56853,1.71947,1.84926
Saudi Arabia,21.3119,21.79609,22.27404,22.74289,23.20004,23.64221,24.0732,24.49852,24.91741,25.32887,25.73178,26.1317
Syria,16.47124,16.88507,17.29982,17.71535,18.13682,18.56267,19.32269,20.48772,21.32486,21.76298,22.19811,22.51775
United Arab Emirates,3.2193,3.38733,3.5581,3.7317,3.90795,4.0866,4.26591,4.44401,4.6214,4.79849,4.97559,5.14866
Yemen,17.40726,17.97054,18.5462,19.13411,19.73383,20.34467,20.96452,21.59104,22.22285,22.85824,23.49536,24.13349
Algeria,30.63802,31.07728,31.52371,31.97542,32.45085,32.91757,33.42097,34.0024,34.61942,35.26813,35.94987,36.65429
Angola,12.6825,12.99797,13.3649,13.81576,14.31526,14.76956,15.20227,15.65176,16.10206,16.56553,17.04287,17.54473
Benin,6.61912,6.83901,7.06449,7.29371,7.52683,7.77771,8.03171,8.27816,8.53255,8.79183,9.05601,9.32503
Botswana,1.67968,1.71401,1.74618,1.77709,1.80783,1.84012,1.87578,1.91342,1.95205,1.99088,2.02931,2.0654
Burkina Faso,11.58775,12.03936,12.58496,13.06539,13.47809,13.90389,14.34353,14.79717,15.26474,15.74623,16.24181,16.75146
Burundi,6.8227,7.04302,7.28679,7.55265,7.85873,8.16194,8.46451,8.78294,9.13931,9.51133,9.86312,10.21619
Cameroon,15.34304,15.70686,16.09444,16.48901,16.87275,17.26147,17.65786,18.06038,18.46769,18.8793,19.29415,19.71129
Cape Verde,0.43013,0.43845,0.4467,0.45483,0.4628,0.4706,0.47831,0.48599,0.49362,0.50118,0.50866,0.5161
Central African Republic,3.97986,4.05393,4.12842,4.21492,4.28875,4.36304,4.44895,4.54373,4.64132,4.74192,4.84493,4.95003
Chad,7.94268,8.17941,8.43619,8.74574,9.09766,9.40066,9.64896,9.88566,10.11134,10.32921,10.54346,10.75895
Comoros,0.54514,0.55949,0.57447,0.59006,0.60626,0.62306,0.64008,0.65694,0.6736,0.69001,0.70612,0.72189
Congo (Brazzaville),3.10394,3.23999,3.33042,3.41425,3.50374,3.604,3.70406,3.80233,3.90501,4.01281,4.12592,4.24393
Congo (Kinshasa),52.4452,54.05772,55.70164,57.30328,58.94255,60.69805,62.52221,64.35501,66.18715,68.01571,69.85129,71.71287
Cote dIvoire (IvoryCoast),16.88458,17.31097,17.68765,18.068,18.50438,18.9205,19.3268,19.74695,20.1796,20.61707,21.0588,21.50416
Djibouti,0.66942,0.69299,0.71635,0.69078,0.65741,0.6664,0.67914,0.69438,0.7092,0.72462,0.74053,0.75707
Egypt,65.15855,66.57408,68.02312,69.50186,71.00947,72.54351,74.10059,75.67654,77.26669,78.86664,80.47187,82.07964
Equatorial Guinea,0.49148,0.50592,0.52076,0.53593,0.55142,0.56723,0.58335,0.59976,0.61646,0.63344,0.6507,0.66823
Eritrea,4.19731,4.33799,4.50543,4.70002,4.90734,5.06956,5.21433,5.35768,5.50203,5.64717,5.79298,5.93948
Ethiopia,64.36522,66.23045,68.16789,70.17483,72.23899,74.3543,76.53528,78.79945,81.13565,83.54843,86.04293,88.58876
Gabon,1.23643,1.26915,1.30042,1.33262,1.36441,1.39569,1.42639,1.45645,1.48583,1.51499,1.54526,1.57667
Gambia The,1.35658,1.3933,1.43071,1.46892,1.508,1.54791,1.5885,1.62965,1.6713,1.71328,1.75546,1.79786
Ghana,18.981,19.36667,19.77879,20.21137,20.65025,21.10698,21.58302,22.06857,22.55447,23.05197,23.5712,24.10786
Guinea,8.35041,8.41692,8.5203,8.75554,8.97198,9.15373,9.34573,9.56922,9.80651,10.05798,10.32403,10.60101
Guinea-Bissau,1.27886,1.30645,1.33312,1.35992,1.38693,1.41416,1.44275,1.47278,1.50318,1.53396,1.56513,1.59668
Kenya,30.6059,31.42309,32.31348,33.24483,34.22344,35.24631,36.31615,37.40888,38.54081,39.7077,40.84314,41.9435
Lesotho,1.91632,1.92234,1.92564,1.92635,1.9249,1.92212,1.9192,1.91686,1.91547,1.91613,1.91955,1.92489
Liberia,2.60067,2.67979,2.75304,2.76968,2.79594,2.93008,3.10761,3.26994,3.44037,3.58339,3.68508,3.78676
Libya,5.02475,5.13595,5.24512,5.35327,5.46163,5.57003,5.67821,5.78615,5.89411,6.00225,6.11036,5.76716
Madagascar,15.71242,16.16861,16.6389,17.12306,17.62109,18.13178,18.65342,19.18567,19.72871,20.28244,20.84662,21.42095
Malawi,11.80151,12.12867,12.46009,12.7968,13.14014,13.49211,13.85568,14.23279,14.62368,15.02876,15.4475,15.87925
Mali,10.78766,11.11158,11.44696,11.79433,12.15423,12.52723,12.91249,13.30921,13.71883,14.14402,14.58261,15.0324
Mauritania,2.50087,2.56579,2.63185,2.69924,2.76795,2.83794,2.9091,2.98145,3.05493,3.12949,3.20506,3.28163
Mauritius,1.18593,1.19788,1.20959,1.221,1.23206,1.24282,1.25343,1.2639,1.27419,1.28426,1.2941,1.30372
Morocco,28.11304,28.47748,28.8389,29.19706,29.55151,29.90096,30.24777,30.59445,30.94046,31.28517,31.62743,31.96836
Mozambique,17.99679,18.39579,18.80188,19.21533,19.63708,20.06862,20.51167,20.96882,21.43923,21.9217,22.41745,22.94886
Namibia,1.89344,1.9351,1.96067,1.98343,2.00665,2.02836,2.04915,2.06903,2.08867,2.10866,2.12847,2.14759
Niger,10.72532,11.09919,11.49086,11.90138,12.33168,12.78209,13.25332,13.74043,14.23866,14.74879,15.27002,15.80175
Nigeria,124.20729,127.4507,130.863,134.45082,138.13818,141.8518,145.62752,149.48791,153.4334,157.47338,161.60474,165.82257
Reunion,0.71634,0.72653,0.73686,0.74734,0.75796,0.76874,0.77967,0.79076,0.802,0.81431,0.82681,0.8395
Rwanda,8.39841,8.61098,8.85737,9.09847,9.36125,9.61107,9.85722,10.14108,10.44077,10.74631,11.05598,11.37043
Saint Helena,0.00723,0.00728,0.00734,0.00739,0.00743,0.00748,0.00752,0.00756,0.0076,0.00764,0.00767,0.0077
Sao Tome and Principe,0.14069,0.14385,0.14713,0.15051,0.15397,0.15751,0.16111,0.16475,0.16842,0.1721,0.17581,0.17951
Senegal,9.46928,9.7162,9.97244,10.24014,10.51912,10.80412,11.09611,11.3943,11.69834,12.00807,12.32325,12.6438
Seychelles,0.07916,0.08017,0.08113,0.08205,0.08297,0.08389,0.0848,0.0857,0.0866,0.08748,0.08834,0.08919
Sierra Leone,3.80906,4.04341,4.28683,4.46568,4.6022,4.70805,4.81762,4.91833,5.023,5.13214,5.2457,5.36367
Somalia,7.50056,7.76577,8.01676,8.27177,8.53664,8.79016,9.00859,9.23811,9.45476,9.61321,9.76789,9.92564
South Africa,45.0641,45.57622,46.07695,46.56663,47.03287,47.48345,47.92567,48.36713,48.78276,49.05249,49.10911,49.00403
Sudan and South Sudan,33.36337,34.15176,34.96068,35.79073,36.64253,37.5167,38.41392,39.29106,40.31773,41.4801,42.58099,43.69745
Swaziland,1.14393,1.16952,1.19371,1.21644,1.23795,1.25898,1.2798,1.29991,1.3191,1.33719,1.35405,1.37042
Tanzania,33.1933,34.19057,35.22678,36.30671,37.38243,38.48614,39.61806,40.78796,41.96741,43.09472,44.2882,45.59086
Togo,4.99183,5.13457,5.27793,5.42496,5.57821,5.71452,5.8654,6.04238,6.22035,6.40501,6.58724,6.77199
Tunisia,9.50799,9.60957,9.71022,9.81165,9.91368,10.01291,10.11197,10.21286,10.31584,10.42055,10.52504,10.62919
Uganda,22.91608,23.63761,24.39105,25.20012,26.04698,26.91658,27.81069,28.7102,29.59863,30.52092,31.50723,32.56022
Western Sahara,0.3363,0.35169,0.36739,0.3834,0.39974,0.4154,0.43032,0.4454,0.46063,0.47601,0.49152,0.50716
Zambia,9.98388,10.28461,10.55841,10.8199,11.08825,11.37246,11.67831,12.00069,12.33773,12.67812,13.04188,13.4246
Zimbabwe,11.82003,11.86786,11.86602,11.81552,11.73505,11.63947,11.54433,11.44319,11.35011,11.39263,11.65186,12.0843
