Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
France,1999.5956,2054.074,1984.611,2001.2931,2009.3388,1990.8877,1991.1425,1979.2219,1945.4399,1868.4137,1833.4219,1792.4219,1739.8169
Germany,2766.7514,2807.4603,2710.4,2662.3671,2649.3989,2620.6658,2638.9233,2416.4055,2542.3033,2452.9534,2469.6,2396.5945,2388.3415
Germany, East,--,--,--,--,--,--,--,--,--,--,--,--,--
Germany, West,--,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,41.08896,22.67871,23.06962,23.66844,24.35363,25.04556,25.61384,26.40225,27.00222,27.79063,28.23482,27,22.41459
Greece,399.2131,405.7288,408.3945,428.7288,419.7595,423.8767,444.0959,449.9041,428.8552,403.3644,372.411,350.9562,317.9153
Hungary,143.2459,138.1562,140.3945,136.4222,136.1967,154.7589,163.1507,160.9205,158.8754,158.2221,149.2767,143.1945,132.6394
Iceland,18.2295,17.4909,18.0484,18.3057,19.0311,19.3614,20.0778,20.7317,23.0636,21.9783,20.9558,21.2156,20.5454
Ireland,169.9809,182.4274,179.4055,176.2438,181.7541,191.9096,202.2055,194.0301,191.5136,162.6849,161.4411,143.1616,133.194
Italy,1853.7678,1832.4438,1870.1315,1859.6548,1828.9235,1780.5699,1776.5863,1728.7041,1666.7896,1544.2356,1544.2438,1493.8,1352.7596
Luxembourg,47.5519,50.6173,51.7302,55.507,62.4186,64.71,61.4387,60.7935,61.0763,57.3142,59.9214,61.3669,61.5036
Macedonia,22.07082,18.47682,20.16704,19.80205,19.64932,19.88729,19.62611,20.18912,18.71932,19.10433,18.58474,19,17.08318
Malta,18.15885,15.06027,18.04836,17.98227,18.20814,18.91285,17.91038,19.05603,36.57995,39.79178,46.87685,45,39.27908
Montenegro,--,--,--,--,--,--,2.891,3.149,3.66632,3.77344,2.93058,4,4.74532
Netherlands,854.5164,893.6548,898.3233,918.6411,947.8661,1021.3835,999.4767,1111.274,1068.6858,1005.2192,1019.7534,1016.4493,1020.8415
Norway,211.3954,219.6011,218.596,229.2695,215.5217,216.7056,236.698,231.7108,229.3883,224.8503,220.7679,224.2609,218.0419
Poland,411.2623,404.6877,406.4329,430.6685,454.1366,470.4137,500.2931,520.6383,535.9126,541.0493,564.189,559.4794,522
Portugal,332.7049,333.8575,343.2247,325.9808,327.959,336.9205,295.8247,308.4192,288.3033,274.7233,274.4109,260.5288,234.0246
Romania,224.23827,228.90572,232.28448,219.60536,225.08886,221.88468,217.62663,224.04533,230.94889,201.34682,193.46327,217,216.33098
Serbia,--,--,--,--,--,--,89.08786,91.49548,76.74649,81.65512,83.68644,81,80.02023
Slovakia,66.765,71.1581,82.8765,74.9768,74.8416,78.5052,78.3388,83.3027,85.9784,80.6242,83.6943,81.8786,70.2983
Slovenia,50.1612,52.0932,50.5452,51.263,52.4317,53.6822,55.5671,55.0767,63.7159,55.3863,54.7808,55.0822,55.2213
Spain,1433.1995,1492.3315,1504.5288,1542.3644,1571.4372,1607.2575,1588.1698,1611.1397,1547.0027,1467.4904,1441.0356,1385.2767,1289.0055
Sweden,361.9863,369.0027,372.589,369.011,368.3934,359.5699,354.4685,350.3699,336.8115,318.2822,335.8658,324.1068,310.8033
Switzerland,273.9508,276.8356,267.6822,270.0959,269.7158,271.3068,270.4438,258.6493,267.4945,259.789,265.611,246.5781,249.8607
Turkey,662.7811,613.5516,651.4592,637.2269,651.8002,647.5017,662.9616,671.7297,655.3494,678.1644,649.8493,655.3397,670.5464
United Kingdom,1765.4399,1746.9863,1738.6383,1758.7616,1785.4016,1820.2849,1805.7343,1752.8575,1726.0465,1636.7425,1621.4657,1583.8192,1502.653
Armenia,35.20768,37.09082,38.63671,39.91049,41.2359,44.40115,45.20129,46.68348,47,45.77984,46.52126,48,47.18435
Azerbaijan,136.88773,119.88992,110.35008,110.77723,112.60131,115.35119,114.37499,109.40288,84.41238,79.87161,78.08862,85,85.32332
Belarus,139.767,130.3312,123.43725,142.82887,158.45931,171.30064,174.28234,175.66381,157.28414,182.53186,152.41085,188,187.62234
Estonia,21.3224,24.1589,25.0329,24.0931,25.0137,25.2192,27.063,28.5123,27.4071,24.6274,25.5507,25.4787,25.9768
Former U.S.S.R.,--,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,15.84167,12.66935,12.29387,12.44115,12.96573,15.03973,16.14322,18.05896,18.86315,19.88913,21.11132,20,17.02069
Kazakhstan,194.74788,210.45053,217.15918,206.9837,221.25186,228.97926,234.46372,235.97005,247.50436,209.95446,206.31951,216,250.69225
Kyrgyzstan,10.5695,9.24867,10.09052,9.57267,12.23265,13.69773,13.55126,14.30658,25.64953,34.08614,32.6094,34,33.41362
Latvia,28.85522,29.74678,28.23055,29.81885,32.63475,35.43307,37.85282,35.1409,35.73477,32.42808,31.81367,35,32.41351
Lithuania,56.5316,54.63841,53.03532,51.55871,55.07215,68.35198,73.04882,74.14962,67.67499,57.0145,56.97809,60,72.67953
Moldova,9.58288,10.55534,11.98485,12.90901,14.29555,14.61923,14.53205,15.55951,15.56312,14.42842,16.96545,17,19.65992
Russia,2578.49807,2590.23179,2636.40875,2681.86287,2750.81387,2785.13646,2803.46812,2697.38699,2906.03991,2950.42683,2992.09124,3115.02862,3195.47427
Tajikistan,23.33237,24.95694,25.44528,27.4935,29.48893,31.74588,33.9241,39.62156,10.77159,10.33668,11.76561,14,14.42097
Turkmenistan,62.36065,74.14633,78.45829,86.78452,94.5529,95.59068,94.98395,99.82164,88.44581,83.65475,102.46918,110,121.85194
Ukraine,260.14025,304.45932,308.03499,322.45701,325.34412,352.42011,367.14376,361.73093,337.62107,293.78029,289.20476,300,318.75629
Uzbekistan,146.09207,148.25523,151.36345,150.46685,152.1107,145.26308,137.20511,141.6346,85.73768,94.03435,96.45236,98,106.02223
Bahrain,23.28591,23.97912,23.91773,25.94879,29.09156,30.51584,39.14797,43.21912,42.7977,45.99874,49.92386,52,50.493
Iran,1248.31697,1285.31813,1350.34668,1425.65445,1488.52473,1556.44021,1642.91506,1655.69699,1741.86318,1765.91694,1726.44027,1700,1709.4071
Iraq,462.31507,489.07897,497.37299,457.37876,502.66032,541.02839,532.99287,570.80792,584.99205,643.45191,662.03812,720,751.23538
Israel,252.4126,233.6822,246.8603,254.5836,248.276,233.4356,242.1452,250.7507,246.0956,232.7479,251.2521,247.6164,281.4645
Jordan,101.07572,98.83847,103.3301,106.42877,106.97502,112.43023,107.73273,103.5094,96.51505,97.64213,106.32399,113,108.6071
Kuwait,264.42198,275.18396,285.15727,297.82679,305.31851,329.93803,317.06052,321.60551,325.31866,372.14141,383.38461,383,383
Lebanon,105.53167,101.31773,101.91553,104.49362,102.28997,97.45164,86.74616,79.11151,102.65259,128.86145,120.37085,134,104.86357
Oman,52.54117,54.71956,57.23217,58.43255,63.91108,72.0646,78.03322,90.95882,121.64244,108.63902,113.54756,123,144.89733
Palestinian Territories,7.08227,10.19074,8.92003,9.71222,15.9389,19.97633,21.62019,22.11096,15.4214,16.32969,16.32969,20,23.26348
Qatar,48.17414,54.48447,62.25185,71.88333,82.84643,86.084,94.99609,121.5751,165.54666,134.20317,123.30604,160,189.74377
Saudi Arabia,1537.10135,1606.29944,1676.24767,1774.58907,1884.4138,1963.64362,2020.02079,2144.44867,1979.89499,2194.53975,2371.37997,2816,2861
Syria,255.52385,253.72949,256.08473,257.10333,257.6186,258.65365,261.11815,264.30652,309.56597,314.54741,317.79685,320,257.64699
United Arab Emirates,330.48427,324.64581,334.62612,333.00985,351.13663,374.22969,448.48776,477.58296,620.03699,565.90226,618.25462,618,618
Yemen,96.61733,102.45388,112.31097,121.49196,123.28182,128.17524,140.06712,121.01271,147.27852,131.16657,131.05187,130,136.89001
Algeria,206.17712,217.91445,224.55862,228.77103,238.35263,254.75687,252.67145,271.09126,286.27742,319.09595,323.28317,330,328.06283
Angola,29.25882,43.03732,44.89467,47.46024,48.28545,49.56101,56.2949,64.57984,69.44778,75.31354,87.34255,88,93.90035
Benin,11.36612,11.39726,12.12732,14.15814,16.77249,17.56263,20.79449,22.56373,23.73332,31.09104,34.76833,36,31.63822
