Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Algeria,6.398,6.4,6.835,6.845,7.251,7.497,7.897,8.132,8.132,11.325,11.325,11.39
Angola,0.586,0.635,0.665,0.665,0.8306,0.8306,0.8432,1.155,1.155,1.155,1.439,1.657
Benin,0.053,0.058,0.058,0.058,0.058,0.059,0.06,0.06,0.171,0.171,0.171,0.171
Botswana,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132
Burkina Faso,0.121,0.177,0.177,0.177,0.213,0.236,0.255,0.249,0.252,0.251,0.238,0.238
Burundi,0.055,0.042,0.044,0.042,0.037,0.033,0.033,0.033,0.033,0.052,0.052,0.052
Cameroon,0.796,0.87,1.065,1.075,1.08,1.014,0.925,0.922,0.937,1.022,1.007,1.007
Cape Verde,0.045,0.051,0.079,0.077,0.077,0.0798,0.0718,0.0748,0.0898,0.0898,0.0858,0.1213
Central African Republic,0.03975,0.04,0.04,0.04,0.0397,0.038,0.038,0.038,0.044,0.044,0.044,0.044
Chad,0.029,0.029,0.029,0.029,0.03,0.031,0.031,0.032,0.031,0.031,0.031,0.031
Comoros,0.005,0.005,0.006,0.006,0.006,0.022,0.022,0.022,0.022,0.022,0.022,0.022
Congo (Brazzaville),0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.148,0.148,0.148,0.148
Congo (Kinshasa),2.473,2.548,2.568,2.5019,2.443,2.443,2.444,2.444,2.476,2.476,2.506,2.506
Cote dIvoire (IvoryCoast),0.984,1.024,1.082,1.113,1.154,1.177,1.207,1.218,1.224,1.222,1.522,1.522
Djibouti,0.11,0.118,0.118,0.118,0.118,0.118,0.118,0.118,0.13,0.13,0.13,0.13
Egypt,17.1861,17.0571,16.9611,17.0581,19.3371,20.4621,21.9191,22.5781,23.4771,24.6651,26.9121,27.7971
Equatorial Guinea,0.012,0.012,0.018,0.021,0.023,0.026,0.028,0.034,0.034,0.041,0.041,0.041
Eritrea,0.06,0.06,0.06,0.15,0.151,0.151,0.167,0.167,0.14,0.14,0.1408,0.1408
Ethiopia,0.51798,0.543,0.721,0.72,0.81752,0.81905,0.8163,0.8293,0.94545,1.17998,2.06145,2.12745
Gabon,0.403,0.406,0.411,0.414,0.414,0.415,0.415,0.415,0.366,0.415,0.415,0.415
Gambia The,0.029,0.029,0.032,0.035,0.04,0.044,0.048,0.053,0.053,0.062,0.062,0.062
Ghana,1.164,1.297,1.572,1.7,1.778,1.748,1.73,1.935,1.981,1.97,2.18,2.18
Guinea,0.347,0.347,0.347,0.347,0.337,0.337,0.331,0.339,0.393,0.393,0.395,0.398
Guinea-Bissau,0.021,0.021,0.021,0.022,0.022,0.022,0.022,0.022,0.026,0.026,0.026,0.026
Kenya,1.0485,1.129,1.151,1.207,1.3092,1.41735,1.43235,1.26935,1.65135,1.67935,1.77045,1.81645
Lesotho,0.0757,0.0757,0.076,0.076,0.0757,0.076,0.076,0.08,0.08,0.08,0.08,0.08
Liberia,0.188,0.188,0.19,0.191,0.193,0.195,0.196,0.198,0.197,0.197,0.197,0.197
Libya,4.6,4.601,4.708,4.708,4.642,5.125,5.438,5.541,6.612,6.766,7.066,7.066
Madagascar,0.227,0.226,0.228,0.247,0.272,0.303,0.339,0.348,0.43,0.43,0.511,0.5122
Malawi,0.242,0.303,0.303,0.299,0.299,0.302,0.302,0.302,0.287,0.287,0.287,0.301
Mali,0.19,0.25,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.304,0.304,0.304
Mauritania,0.145,0.145,0.168,0.172,0.242,0.242,0.253,0.253,0.263,0.263,0.293,0.293
Mauritius,0.817,0.817,0.817,0.81118,0.81518,0.84858,0.87158,0.91318,0.88518,0.89918,0.90118,0.90118
Morocco,4.783,4.878,4.85106,4.85106,5.54006,5.48706,5.67207,5.71197,5.88707,6.16407,6.40807,6.41307
Mozambique,2.383,2.388,2.34,2.34,2.34,2.369,2.369,2.499,2.428,2.428,2.428,2.429
Namibia,0.393,0.393,0.393,0.393,0.393,0.393,0.3933,0.3935,0.3935,0.3935,0.3932,0.3932
Niger,0.145,0.145,0.145,0.145,0.132,0.133,0.133,0.133,0.133,0.134,0.134,0.134
Nigeria,5.888,5.888,5.888,5.898,5.898,5.898,5.9002,5.9002,5.9002,5.9002,5.9002,5.9002
Reunion,0.491,0.496,0.496,0.496,0.53,0.574,0.579,0.631,0.636,0.672,0.684,0.684
Rwanda,0.043,0.043,0.043,0.043,0.051,0.057,0.057,0.05725,0.05725,0.06525,0.07625,0.08525
Saint Helena,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005
Sao Tome and Principe,0.01425,0.014,0.014,0.014,0.014,0.018,0.018,0.018,0.018,0.018,0.016,0.016
Senegal,0.283,0.303,0.423,0.392,0.428,0.509,0.488,0.577,0.638,0.654,0.623,0.623
