Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Korea South,259.54233,279.25456,296.4001,312.89178,332.92648,352.04378,364.61128,386.20424,402.11836,408.49382,449.5113,449.5113
Laos,0.54,0.71,0.766,0.884,0.903,1.03013,1.12829,1.60574,1.93103,2.34611,2.35497,2.35497
Macau,1.39177,1.50309,1.59769,1.68192,1.8405,2.1595,2.399,2.984,3.3115,3.4629,4.077,4.077
Malaysia,60.32766,60.78044,64.04936,68.32322,71.09982,69.12114,75.25278,81.92151,84.00361,102.78317,109.82009,109.82009
Maldives,0.09114,0.10137,0.10974,0.12369,0.1395,0.16183,0.1851,0.21393,0.24462,0.27996,0.28002,0.28002
Mongolia,2.4,2.46738,2.55332,2.69251,2.87001,3.04569,3.20947,3.35943,3.6447,3.5766,3.95054,3.95054
Nauru,0.02883,0.02604,0.02604,0.02697,0.02697,0.0279,0.02883,0.02976,0.03069,0.03255,0.03255,0.03255
Nepal,1.428,1.441,1.757,1.746,1.865,1.952,2.154,2.28346,2.19746,2.57422,2.74482,2.74482
New Caledonia,1.45917,1.52892,1.54473,1.55217,1.48245,1.6647,1.65354,1.70655,1.65726,1.70562,1.83954,1.83954
New Zealand,35.22392,35.41374,36.57494,36.73144,38.44062,38.75884,39.35628,39.5277,39.48804,39.42872,40.7648,40.7648
Niue,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279,0.00279
Pakistan,46.854,49.98,52.402,57.184,60.074,67.051,72.428,72.19943,68.54856,72.08222,74.41968,74.41968
Papua New Guinea,1.95486,2.39196,2.56494,2.86812,2.94345,3.09039,3.01599,3.09411,3.03273,3.09783,3.1155,3.1155
Philippines,37.315,39.495,40.555,43.864,46.419,47.371,47.62002,49.472,50.63011,51.81669,56.842,56.842
Samoa,0.08184,0.09765,0.11253,0.1023,0.09486,0.09765,0.1023,0.10528,0.10714,0.109,0.11179,0.11179
Singapore,27.853,30.063,31.256,32.256,33.392,34.915,36.087,37.572,38.155,37.411,40.622,40.622
Solomon Islands,0.05394,0.05487,0.0558,0.05487,0.05487,0.0651,0.06603,0.0744,0.0744,0.07626,0.07626,0.07626
Sri Lanka,4.985,5.25,5.489,5.975,6.524,7.434,6.863,7.9449,7.41148,8.04552,8.9154,8.9154
Taiwan,163.4831,167.6133,177.4433,186.8715,192.1566,199.829,205.7855,215.672,214.147,204.372,217.667,217.667
Thailand,82.1143,86.5343,94.0233,102.6223,110.2133,116.1198,122.5519,126.682,129.086,129.313,140.842,140.842
Timor-Leste (East Timor),--,--,--,0,0,0,0,0,0,0,0,0
Tonga,0.0279,0.03441,0.03534,0.03906,0.04092,0.04185,0.03906,0.0372,0.03813,0.03813,0.03813,0.03813
