Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Slovakia,36.39909,39.62207,39.10684,39.36345,38.23202,39.60462,39.68137,37.72669,37.41842,34.44978,35.57277,34.88257
Slovenia,15.67823,16.07139,16.52661,16.79661,16.81052,17.08301,17.07942,16.92579,17.42004,16.11383,15.98877,15.82996
Spain,315.6442,320.28345,337.75752,346.37322,366.85032,379.37779,372.27362,387.95157,360.10337,327.80082,312.40183,318.64374
Sweden,60.65445,60.23903,57.10442,60.75723,60.37032,57.60959,56.73196,56.5168,54.60931,49.8271,59.18913,53.14585
Switzerland,45.43946,45.91141,44.32776,45.0749,45.46537,45.74944,45.54336,43.87827,45.344,44.07276,42.01558,43.364
Turkey,201.92614,184.17996,194.53327,206.02708,210.47248,230.89754,250.95748,280.19062,272.90035,269.06308,269.36551,296.33522
United Kingdom,560.33888,572.69809,561.67509,572.57602,583.4182,583.06362,585.49888,569.89458,563.87228,516.19096,528.89349,496.79922
Armenia,8.61153,8.77753,8.39635,9.02351,9.18418,10.36086,10.35427,11.43854,11.17625,10.10835,10.58378,11.74023
Azerbaijan,43.76152,31.22446,34.18749,33.90226,35.92774,37.19268,39.89209,33.80993,38.4983,30.75187,29.50056,36.51941
Belarus,60.05203,54.49816,50.96152,55.66931,54.82268,64.33043,66.42475,66.1556,66.94103,61.14291,64.35534,67.15781
Estonia,16.27713,16.65183,16.50942,18.63055,19.27014,18.94793,18.68167,19.99652,18.86217,16.13839,19.34796,20.26289
Former U.S.S.R.,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,4.63094,4.04556,4.54154,3.72334,4.15085,4.86343,4.89927,5.69266,5.75952,6.50681,6.37872,5.86761
Kazakhstan,132.71124,139.97994,143.77348,138.03468,164.68431,169.38925,180.0946,181.98328,184.9191,169.79043,178.70808,195.35452
Kyrgyzstan,7.20941,6.51852,5.77841,5.21465,5.86723,5.51814,5.43654,5.12468,5.15228,7.88337,7.47725,7.79292
Latvia,7.37642,7.66931,7.44142,7.87107,8.18748,8.61124,9.31882,8.59771,8.05378,7.93639,7.84508,8.47462
Lithuania,13.27217,13.01936,13.29898,13.59123,13.39381,15.65937,16.55272,17.7792,18.22991,13.50371,14.26175,16.04993
Moldova,5.88816,5.82117,6.33981,6.94701,6.54757,6.83804,7.24488,6.93383,7.26582,6.56653,6.61911,6.46697
Russia,1498.77334,1442.25877,1500.77709,1551.98274,1599.61598,1587.52584,1635.92811,1580.6124,1645.59776,1554.55364,1642.29034,1788.13646
Tajikistan,5.9538,6.17881,6.05787,6.67247,7.10983,7.42302,7.41797,7.22727,6.87224,2.43787,2.65457,2.61769
Turkmenistan,23.94367,29.75931,34.18472,44.0138,47.01419,47.98736,48.77233,52.01409,55.98046,50.72705,52.09079,51.85311
Ukraine,324.86674,316.74254,324.67724,355.28306,344.65994,351.12759,331.33563,351.99596,350.53113,245.75633,281.08672,304.44916
Uzbekistan,107.72731,112.58531,115.34722,116.01702,122.49509,117.11357,121.15045,122.89486,127.11915,107.1491,106.15908,115.88258
Bahrain,20.2649,20.7952,21.84896,22.44671,23.14127,24.72072,27.2431,28.59267,29.90655,30.20964,30.59408,29.69705
Iran,321.45562,334.15259,365.11253,387.74014,407.93242,451.05783,477.36746,489.35062,512.04895,562.58509,564.62271,624.85538
Iraq,73.58195,77.68226,79.59632,71.58375,78.41274,94.86728,91.4548,99.43071,104.16652,112.59202,113.53926,139.35388
Israel,60.32733,67.12801,65.57544,64.63918,66.14616,68.64171,68.62784,69.16152,66.89383,65.58904,70.56747,72.09509
Jordan,15.63461,15.29613,15.99701,17.07831,18.23044,19.28074,20.05841,19.86137,19.29528,19.62522,20.65652,18.55409
Kuwait,59.49859,57.45992,56.22943,63.43654,67.87363,76.0541,76.64155,74.52153,78.09866,82.23739,86.49087,82.36932
Lebanon,16.45474,15.97591,16.02242,16.14654,15.7463,15.03678,13.39559,12.54014,14.65259,19.84527,19.18424,19.4548
Oman,21.79211,22.20316,22.98648,22.46521,24.35701,30.17277,34.96586,37.04015,43.75853,46.04522,52.74596,52.67441
Palestinian Territories,0.62818,1.25086,1.04483,1.17794,2.09551,2.65387,2.89097,2.89378,3.01014,2.04248,2.04248,2.50155
Qatar,34.69834,27.55978,29.44254,32.47879,38.64129,54.95072,58.36638,59.60496,63.50041,68.38691,68.23654,64.45829
Saudi Arabia,290.53938,301.34016,311.6248,347.2572,388.76301,401.92682,402.42293,392.69352,421.63629,437.68518,468.72759,513.52677
Syria,50.99418,49.34207,52.4336,52.84742,52.79437,50.64561,51.67335,52.67491,54.41043,61.62836,65.5212,63.14205
United Arab Emirates,115.72235,115.33363,123.80673,127.14137,133.52284,139.7945,155.32627,171.58193,195.80483,205.74913,214.41368,245.37672
Yemen,13.17836,13.96662,15.39772,16.65359,16.65126,17.37638,18.97605,18.54596,22.83519,22.09077,20.9841,23.74853
Algeria,83.62997,79.15785,81.6771,81.70435,80.49461,90.14132,94.64754,101.14551,106.83238,113.8233,112.56436,117.24099
Angola,13.03284,14.98353,15.64893,18.90678,19.82595,20.00292,20.92849,23.70157,23.08454,24.47161,26.59134,26.97333
Benin,1.65022,1.65022,1.74761,2.05564,2.40003,2.52598,3.00678,3.29473,3.35844,4.50767,5.05743,4.65475
Botswana,4.37426,3.86083,3.82039,3.50883,4.07181,4.3633,4.40432,4.15277,4.33554,4.32247,5.05007,3.8427
Burkina Faso,1.06094,1.07391,1.10354,1.14136,1.16062,1.05018,1.24786,1.38072,1.38475,1.70254,1.72968,1.45436
Burundi,0.37227,0.39592,0.39961,0.41538,0.38157,0.37063,0.36025,0.33461,0.35525,0.1994,0.19875,0.20473
Cameroon,6.83297,6.46851,6.18427,6.12142,6.4695,6.69472,7.26221,7.73558,7.53987,8.30876,8.54853,8.12627
Cape Verde,0.17464,0.13678,0.14473,0.14471,0.29752,0.25455,0.29244,0.34454,0.32451,0.37926,0.37926,0.42996
Central African Republic,0.32459,0.33107,0.34383,0.34376,0.32462,0.30883,0.32473,0.35731,0.33991,0.34058,0.34058,0.29392
Chad,0.19042,0.19354,0.19992,0.19989,0.18734,0.20761,0.22546,0.26712,0.26181,0.25406,0.25406,0.28977
Comoros,0.09636,0.09954,0.10306,0.10302,0.10593,0.11231,0.11452,0.1446,0.11966,0.15095,0.13011,0.14835
Congo (Brazzaville),3.01443,3.20125,2.98516,3.07015,3.07369,5.28792,5.44405,5.77373,5.96083,6.46333,6.79414,6.85847
Congo (Kinshasa),2.69529,1.98965,1.78669,1.82928,2.36779,2.4474,2.43656,2.72779,2.69436,2.59724,3.13556,2.7205
Cote dIvoire (IvoryCoast),7.36264,5.86497,5.80376,5.78998,6.34677,6.36742,6.27272,6.17883,6.38742,6.51809,6.61779,6.68025
Djibouti,1.85101,1.87055,1.87387,1.909,1.93923,1.92162,1.68,1.64784,1.70509,1.15975,1.15975,1.14975
Egypt,119.98311,129.29424,133.41601,143.22667,152.71773,158.99232,151.21307,157.90248,180.8311,184.82881,190.58713,201.6673
Equatorial Guinea,2.05361,2.05087,3.93732,4.91274,3.80769,4.89368,4.90002,4.62955,4.68116,5.4084,5.47723,5.23233
Eritrea,0.64128,0.75431,0.71518,0.80711,0.76279,0.71844,0.74435,0.70135,0.7289,0.51372,0.50859,0.62558
Ethiopia,3.45795,3.55034,3.88786,4.18523,4.34533,4.57928,5.15636,5.70997,6.42447,6.97507,6.44815,6.70277
Gabon,5.0733,4.95173,4.7086,4.89232,4.92687,4.8398,4.39398,4.43814,4.67176,4.25937,4.53669,4.75798
Gambia The,0.26383,0.2829,0.28931,0.29237,0.29636,0.30507,0.32429,0.40246,0.37834,0.44356,0.48132,0.42559
Ghana,5.31871,5.17609,5.45678,5.94511,6.49114,6.53389,6.68283,6.77291,7.38905,7.48618,9.10806,9.00539
Guinea,1.30423,1.31375,1.32468,1.33072,1.35067,1.38058,1.37264,1.35532,1.34601,1.43346,1.43346,1.41942
Guinea-Bissau,0.35548,0.35866,0.37304,0.38244,0.38366,0.39579,0.39057,0.40445,0.46167,0.40794,0.40794,0.45984
Kenya,8.69947,7.97304,7.93573,8.35901,9.20865,10.1393,11.32301,11.20114,11.04056,11.61098,12.30548,12.62416
Lesotho,0.21183,0.21125,0.21128,0.21121,0.21179,0.22677,0.23462,0.23841,0.23982,0.23462,0.55122,0.44561
Liberia,0.44141,0.46771,0.50293,0.51923,0.52886,0.53687,0.61051,0.68008,0.69074,0.55232,0.53638,0.58796
Libya,41.8906,43.44562,48.37572,46.39196,52.35355,56.4356,52.1065,53.66092,56.78157,57.99763,61.68766,49.66926
Madagascar,1.81079,1.98208,2.29941,2.37972,2.62804,2.52389,2.49937,2.5052,2.81384,1.85917,1.88115,1.84277
